Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
La Rioja,5.59186158436808,20.79586006879485,5.871454663586484,5.000000000000009
Mendoza,5.88052966304504,14.867812320279436,6.174556146197292,5.000000000000002
Misiones,11.759657402552,28.90183042687181,12.3476402726796,5.0000000000000036
Neuquén,13.365011560108,31.061870659916227,14.0332621381134,5.000000000000003
Río Negro,9.50959511437395,22.761131735454708,9.985074870092648,5.000000000000009
Salta,8.92827170644268,25.51226914594281,9.374685291764814,4.999999999999995
San Juan,5.84559783069231,8.850696587126581,6.137877722226926,5.000000000000003
San Luis,5.90057518488085,28.98381675858839,6.195603944124893,5.000000000000009
Santa Cruz,5.18928995085579,8.40829398214465,5.44875444839858,5.000000000000001
Santa Fe,11.7488846228176,29.291079513758643,12.33632885395848,5.000000000000003
Santiago Del Estero,5.91100164699838,13.205254673844061,6.206551729348299,5.000000000000005
Tierra Del Fuego,5.94274505737592,7.989260750593337,6.239882310244717,5.000000000000005
Tucumán,13.5065457296271,32.51176385893377,14.181873016108455,5.000000000000003
Buenos Aires,14.1988896446809,44.001792787906716,14.908834126914945,4.999999999999999
Capital Federal,17.7455773041801,63.331717870208955,18.632856169389104,5.000000000000001
Catamarca,8.19886052871468,29.836084392605336,8.608803555150415,4.9999999999999964
Chaco,12.444064678645,32.95065270309209,13.066267912577251,5.000000000000003
Chubut,5.41863793882778,8.194332114660515,5.68956983576917,5.0000000000000115
Córdoba,12.7905712174005,35.07736611619202,13.430099778270526,5.000000000000011
Corrientes,11.1185028652536,29.335323255693304,11.67442800851628,5.000000000000002
Entre Ríos,9.87523936699876,27.630179819463983,10.369001335348699,5.000000000000001
Formosa,11.0568153674695,23.28657364915028,11.609656135842975,4.999999999999998
Jujuy,6.74118587938453,17.20923978540554,7.078245173353757,5.000000000000003
La Pampa,3.9951313520641,9.291688324976617,4.1948879196673055,5.000000000000015
La Rioja,5.89082060411163,20.79586006879485,6.1853616343172115,5.000000000000004
Mendoza,5.88162696916937,14.867812320279436,6.175708317627839,5.000000000000001
Misiones,12.082189465143,28.90183042687181,12.68629893840015,5.000000000000002
Neuquén,11.9604599560741,31.061870659916227,12.558482953877805,4.999999999999998
Río Negro,8.97624319436158,22.761131735454708,9.425055354079658,5.0
Salta,9.1894409821995,25.51226914594281,9.648913031309474,4.9999999999999964
San Juan,5.85058103554975,8.850696587126581,6.143110087327238,5.000000000000011
San Luis,5.89436270457927,28.98381675858839,6.189080839808233,5.000000000000003
Santa Cruz,5.18928995085579,8.40829398214465,5.44875444839858,5.000000000000001
Santa Fe,11.173305005746,29.291079513758643,11.7319702560333,4.999999999999997
Santiago Del Estero,6.24821072216304,13.205254673844061,6.560621258271192,5.000000000000006
Tierra Del Fuego,5.76808203603288,7.989260750593337,6.056486137834525,5.000000000000005
Tucumán,9.35563168480611,32.51176385893377,9.823413269046416,5.000000000000009
Buenos Aires,12.9720825438982,44.001792787906716,13.620686671093111,5.000000000000009
Capital Federal,15.2022188691604,63.331717870208955,15.962329812618421,5.000000000000001
Catamarca,7.78415435139573,29.836084392605336,8.173362068965517,5.0
Chaco,11.7028681219594,32.95065270309209,12.28801152805737,5.0
Chubut,5.40823807689014,8.194332114660515,5.678649980734647,4.999999999999999
Córdoba,11.6365847011566,35.07736611619202,12.21841393621443,5.0
Corrientes,10.384400430892,29.335323255693304,10.9036204524366,4.9999999999999964
Entre Ríos,9.29596061999907,27.630179819463983,9.760758650999025,5.000000000000012
Formosa,10.1141704637663,23.28657364915028,10.619878986954616,5.000000000000011
Jujuy,6.63882127356649,17.20923978540554,6.970762337244815,4.999999999999999
La Pampa,3.9758194449815,9.291688324976617,4.174610417230575,4.999999999999996
La Rioja,5.87758884950666,20.79586006879485,6.171468291981993,5.000000000000004
Mendoza,5.71002586675844,14.867812320279436,5.995527160096362,4.999999999999999
Misiones,11.3241237232496,28.90183042687181,11.890329909412081,5.000000000000003
Neuquén,10.7191515245403,31.061870659916227,11.255109100767315,5.000000000000011
Río Negro,8.04552232467275,22.761131735454708,8.447798440906388,5.0000000000000115
Salta,8.45174276777563,25.51226914594281,8.87432990616441,4.999999999999999
San Juan,5.83226007301013,8.850696587126581,6.123873076660637,5.0
San Luis,5.73220880135405,28.98381675858839,6.0188192414217525,5.000000000000004
Santa Cruz,5.20658482887451,8.40829398214465,5.466914070318236,5.000000000000009
Santa Fe,10.2974946018472,29.291079513758643,10.81236933193956,5.000000000000006
Santiago Del Estero,6.16560021498504,13.205254673844061,6.473880225734292,5.000000000000001
Tierra Del Fuego,5.20322570453684,7.989260750593337,5.463386989763682,5.000000000000004
Tucumán,9.10602130718706,32.51176385893377,9.561322372546414,5.00000000000001
Buenos Aires,8.42570621185365,44.001792787906716,8.846991522446332,5.000000000000009
Capital Federal,10.6357202740733,63.331717870208955,11.167506287776966,5.00000000000001
Catamarca,5.26001806671356,29.836084392605336,5.523018970049238,5.000000000000003
Chaco,8.4848712875555,32.95065270309209,8.909114851933275,5.000000000000004
Chubut,3.47834691566909,8.194332114660515,3.6522642614525447,5.0000000000000036
Córdoba,9.11557287304998,35.07736611619202,9.571351516702478,4.999999999999999
Corrientes,7.44741642808526,29.335323255693304,7.819787249489523,4.999999999999999
